PERSONAL INFORMATIONS;;;;;;;;;;;;;;;;
Social title;First name;Last name;Birthday;Age;Email;Language;Registration date;Last visit date;Is guest;Shop name;Is newsletter subscribed;Is partner offers subscribed;Siret;Ape;Website;Personal note
M.;Jonathan;Renard;05/12/1991;31;jonathan.renard@prestashop.com;Français (French);16/03/2023 10:31;16/03/2023 10:30;0;;1;1;;;;Note personnelle sur l'utilisateur
;;;;;;;;;;;;;;;;
ADDRESSES;;;;;;;;;;;;;;;;
Alias;Company;Full name;Full address;Phone;Phone mobile;Country name;Date add;;;;;;;;;
Mon adresse personnelle;Prestashop;Jonathan Renard;73 rue buffon Complément d'adresse 34070 MONTPELLIER;France;771735701;;16/03/2023 10:31;;;;;;;;;
;;;;;;;;;;;;;;;;
ORDERS;;;;;;;;;;;;;;;;
Reference;Payment;status;Total paid with taxes;Date of order;;;;;;;;;;;;
FTSTPTRDI;Chèque;En attente du paiement par chèque;11.90 EUR;16/03/2023 10:32;;;;;;;;;;;;
HXYAOYMMR;Chèque;Paiement accepté;76.90 EUR;16/03/2023 10:31;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
PRODUCTS ORDERED;;;;;;;;;;;;;;;;
Order reference;Reference;Name;Quantity;;;;;;;;;;;;;
FTSTPTRDI;demo_12;Mug The adventure begins;1;;;;;;;;;;;;;
HXYAOYMMR;demo_6;Affiche encadrée The best is yet to come (Dimension : 40x60cm);1;;;;;;;;;;;;;
HXYAOYMMR;demo_12;Mug The adventure begins;1;;;;;;;;;;;;;
HXYAOYMMR;demo_7;Affiche encadrée Today is a good day (Dimension : 40x60cm);1;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
CARTS;;;;;;;;;;;;;;;;
Id;Total;Creation date;;;;;;;;;;;;;;
8;1;16/03/2023 10:32;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
PRODUCTS IN CART;;;;;;;;;;;;;;;;
Cart id;Reference;Name;Quantity;;;;;;;;;;;;;
8;demo_13;Mug Today is a good day;1;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
MESSAGES;;;;;;;;;;;;;;;;
Ip address;Message;Creation date;;;;;;;;;;;;;;
172.18.0.1;Un test de message provenant de l'utilisateur;16/03/2023 10:32;;;;;;;;;;;;;;
172.18.0.1;"Un test de message via la section ""contactez-nous""";16/03/2023 10:33;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
LAST CONNECTIONS;;;;;;;;;;;;;;;;
id;Http referer;Pages viewed;Total time;Ip address;Date;;;;;;;;;;;
7;;0;;172.18.0.1;16/03/2023 10:30;;;;;;;;;;;
;;;;;;;;;;;;;;;;
DISCOUNTS;;;;;;;;;;;;;;;;
Id;Code;Name;Description;;;;;;;;;;;;;
1;TEST 10;Test;Test de description;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
LAST SENT EMAILS;;;;;;;;;;;;;;;;
Date;Language;Subject;Template;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
GROUPS;;;;;;;;;;;;;;;;
Id;Name;;;;;;;;;;;;;;;
3;Client;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
MODULE : INSCRIPTION à LA NEWSLETTER;;;;;;;;;;;;;;;;
Information;;;;;;;;;;;;;;;;
Inscription à la newsletter : aucun e-mail à exporter; le client n'est pas enregistré.;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
MODULE : COMMENTAIRES PRODUITS;;;;;;;;;;;;;;;;
name;id_product;id_product_comment;title;content;grade;validate;deleted;usefulness;date_add;;;;;;;
Affiche encadrée The best is yet to come;3;1;Top produit !;Ce produit est vraipment génial ! ;5;1;0;;16/03/2023 09:39;;;;;;;
;;;;;;;;;;;;;;;;
MODULE : ALERTES PAR E-MAIL;;;;;;;;;;;;;;;;
Information;;;;;;;;;;;;;;;;
Alerte mail : impossible d'exporter le client utilisant l'adresse email.;;;;;;;;;;;;;;;;
